ik,I,Ik ben een student.,I am a student.
wonen,to live,Waar woon jij?,Where do you live?
lopen,to walk,Wij lopen samen.,We walk together.
rijden,to drive / ride,Ik rijd in een auto.,I drive a car.
en,and,Ik hou van kaas en brood.,I love cheese and bread.
maar,but,Ik wil gaan maar ik ben moe.,I want to go but I am tired.
want,because,Ik eet want ik heb honger.,I eat because I am hungry.
omdat,because,Ik blijf thuis omdat het regent.,I stay home because it is raining.
als,if / when,Als het regent blijven we thuis.,If it rains we stay home.
of,or,Wil je thee of koffie?,Do you want tea or coffee?
niet,not,Ik weet het niet.,I do not know.
geen,none / no,Ik heb geen geld.,I have no money.
wel,indeed / rather,Ik wil wel gaan.,I do want to go.
ook,also,Ik kom ook.,I am coming too.
nog,still / yet,Ik ben nog niet klaar.,I am not ready yet.
al,already,Het is al laat.,It is already late.
nu,now,Ik moet nu weg.,I have to leave now.
straks,later (today),Ik zie je straks.,I'll see you later.
later,later,Tot later!,See you later!
altijd,always,Ik ben altijd op tijd.,I am always on time.
nooit,never,Ik eet nooit vlees.,I never eat meat.
vaak,often,Ik ga vaak zwemmen.,I often go swimming.
soms,sometimes,Soms is het koud.,Sometimes it is cold.
hier,here,Ik ben hier.,I am here.
daar,there,Het staat daar.,It is standing there.
overal,everywhere,Ik heb overal gezocht.,I looked everywhere.
nergens,nowhere,Ik kan het nergens vinden.,I can find it nowhere.
met,with,Ik ga met mijn vriend.,I am going with my friend.
zonder,without,Koffie zonder melk.,Coffee without milk.
voor,for / before,Dit is voor jou.,This is for you.
na,after,Na de les gaan we naar huis.,After the lesson we go home.
van,of / from,Ik kom van Nederland.,I come from the Netherlands.
naar,to,Ik ga naar de stad.,I am going to the city.
in,in,In het huis.,In the house.
op,on,Het boek ligt op de tafel.,The book is on the table.
uit,out / from,Ik kom uit de winkel.,I am coming out of the shop.
bij,at / near,Ik ben bij de bank.,I am at the bank.
tussen,between,Het staat tussen de boeken.,It stands between the books.
onder,under,De kat zit onder de tafel.,The cat is under the table.
boven,above,De lamp hangt boven de tafel.,The lamp hangs above the table.
links,left,Sla linksaf.,Turn left.
rechts,right,Ga naar rechts.,Go to the right.
rechtdoor,straight ahead,Ga rechtdoor.,Go straight ahead.
dichtbij,near,De supermarkt is dichtbij.,The supermarket is near.
ver weg,far away,Het is ver weg.,It is far away.
nul,zero,Nul graden.,Zero degrees.
één,one,Ik heb één broer.,I have one brother.
twee,two,Twee kopjes koffie.,Two cups of coffee.
drie,three,Drie katten.,Three cats.
vier,four,Vier auto's.,Four cars.
vijf,five,Vijf appels.,Five apples.
zes,six,Zes eieren.,Six eggs.
zeven,seven,Zeven dagen.,Seven days.
acht,eight,Acht uren.,Eight hours.
negen,nine,Negen mensen.,Nine people.
tien,ten,Tien euro.,Ten euros.
elf,eleven,Elf spelers.,Eleven players.
twaalf,twelve,Twaalf maanden.,Twelve months.
dertien,thirteen,Dertien is een ongeluksgetal.,Thirteen is an unlucky number.
veertien,fourteen,Veertien dagen.,Fourteen days.
vijftien,fifteen,Vijftien minuten.,Fifteen minutes.
zestien,sixteen,Zestien jaar.,Sixteen years.
zeventien,seventeen,Zeventien boeken.,Seventeen books.
achttien,eighteen,Achttien jaar oud.,Eighteen years old.
negentien,nineteen,Negentien graden.,Nineteen degrees.
twintig,twenty,Twintig euro.,Twenty euros.
honderd,hundred,Honderd mensen.,One hundred people.
duizend,thousand,Duizend jaar.,One thousand years.
de tijd,the time,Hoe laat is het?,What time is it?
de dag,the day,Een mooie dag.,A beautiful day.
de week,the week,De volgende week.,The next week.
de maand,the month,De maand mei.,The month of May.
het jaar,the year,Een nieuw jaar.,A new year.
vandaag,today,Het is vandaag warm.,It is warm today.
morgen,tomorrow,Ik zie je morgen.,I see you tomorrow.
gisteren,yesterday,Gisteren was het koud.,Yesterday it was cold.
de ochtend,the morning,In de ochtend.,In the morning.
de middag,the afternoon,In de middag.,In the afternoon.
de avond,the evening,In de avond.,In the evening.
de nacht,the night,Goedenacht.,Good night.
maandag,Monday,Maandag is de eerste dag.,Monday is the first day.
dinsdag,Tuesday,Dinsdag ga ik sporten.,Tuesday I am going to exercise.
woensdag,Wednesday,Woensdagmiddag.,Wednesday afternoon.
donderdag,Thursday,Donderdag is het markt.,Thursday is market day.
vrijdag,Friday,Vrijdagavond.,Friday evening.
zaterdag,Saturday,Zaterdag is het weekend.,Saturday it is weekend.
zondag,Sunday,Zondag is een rustdag.,Sunday is a day of rest.
de mens,the human,De mens is uniek.,Humans are unique.
de persoon,the person,Een aardige persoon.,A nice person.
de man,the man,De man loopt op straat.,The man walks on the street.
de vrouw,the woman,De vrouw leest een boek.,The woman is reading a book.
het kind,the child,Het kind speelt buiten.,The child is playing outside.
de baby,the baby,De baby huilt.,The baby is crying.
de vader,the father,Mijn vader werkt.,My father works.
de moeder,the mother,Mijn moeder kookt.,My mother is cooking.
de zoon,the son,Mijn zoon gaat naar school.,My son goes to school.
de dochter,the daughter,Mijn dochter lacht.,My daughter is laughing.
de broer,the brother,Mijn broer is groot.,My brother is tall.
de zus,the sister,Mijn zus is lief.,My sister is sweet.
de familie,the family,Mijn familie is groot.,My family is big.
de vriend,the friend (male),Hij is mijn beste vriend.,He is my best friend.
de vriendin,the friend (female),Zij is mijn vriendin.,She is my friend.
het lichaam,the body,Een gezond lichaam.,A healthy body.
het hoofd,the head,Ik heb hoofdpijn.,I have a headache.
het haar,the hair,Haar haar is blond.,Her hair is blond.
het gezicht,the face,Een blij gezicht.,A happy face.
het oog,the eye,Ik heb blauwe ogen.,I have blue eyes.
het oor,the ear,Ik hoor je met mijn oren.,I hear you with my ears.
de neus,the nose,Ik ruik met mijn neus.,I smell with my nose.
de mond,the mouth,Doe je mond open.,Open your mouth.
de tand,the tooth,Ik poets mijn tanden.,I brush my teeth.
de nek,the neck,Mijn nek doet zeer.,My neck hurts.
de schouder,the shoulder,Op mijn schouder.,On my shoulder.
de arm,the arm,Ik heb twee armen.,I have two arms.
de hand,the hand,Geef me je hand.,Give me your hand.
de vinger,the finger,Ik heb tien vingers.,I have ten fingers.
de rug,the back,Mijn rug is recht.,My back is straight.
de buik,the belly,Ik heb een volle buik.,I have a full belly.
het been,the leg,Mijn benen zijn moe.,My legs are tired.
de knie,the knee,Ik viel op mijn knie.,I fell on my knee.
de voet,the foot,Ik ga te voet.,I go on foot.
het eten,the food,Het eten is lekker.,The food is tasty.
het drinken,the drink,Wat wil je drinken?,What do you want to drink?
het water,the water,Een glas water.,A glass of water.
de koffie,the coffee,Koffie met suiker.,Coffee with sugar.
de thee,the tea,Wil je thee?,Do you want tea?
de melk,the milk,Melk is wit.,Milk is white.
het sap,the juice,Sinaasappelsap.,Orange juice.
het brood,the bread,Brood met kaas.,Bread with cheese.
de kaas,the cheese,Ik hou van kaas.,I love cheese.
het vlees,the meat,Ik eet geen vlees.,I don't eat meat.
de vis,the fish,Vis uit de zee.,Fish from the sea.
het ei,the egg,Een gekookt ei.,A boiled egg.
de rijst,the rice,Witte rijst.,White rice.
de appel,the apple,Een rode appel.,A red apple.
de banaan,the banana,Een gele banaan.,A yellow banana.
de groente,the vegetable,Eet je groente.,Eat your vegetables.
het fruit,the fruit,Ik hou van fruit.,I love fruit.
de suiker,the sugar,Suiker is zoet.,Sugar is sweet.
het zout,the salt,Niet te veel zout.,Not too much salt.
lekker,tasty,Dit is erg lekker.,This is very tasty.
honger,hunger,Ik heb honger.,I am hungry.
dorst,thirst,Ik heb dorst.,I am thirsty.
het huis,the house,Ik ga naar huis.,I am going home.
de kamer,the room,Mijn kamer is klein.,My room is small.
de keuken,the kitchen,In de keuken.,In the kitchen.
de badkamer,the bathroom,De badkamer is boven.,The bathroom is upstairs.
de slaapkamer,the bedroom,Een grote slaapkamer.,A big bedroom.
de wc,the toilet,Waar is de wc?,Where is the toilet?
de deur,the door,Doe de deur dicht.,Close the door.
het raam,the window,Kijk door het raam.,Look through the window.
de tafel,the table,Het eten staat op tafel.,The food is on the table.
de stoel,the chair,Ga op de stoel zitten.,Sit on the chair.
het bed,the bed,Ik lig in bed.,I am lying in bed.
de kast,the cupboard,In de kast.,In the cupboard.
de lamp,the lamp,Doe de lamp aan.,Turn on the lamp.
de muur,the wall,Een witte muur.,A white wall.
de vloer,the floor,Op de vloer.,On the floor.
de tuin,the garden,Wij zitten in de tuin.,We are sitting in the garden.
de stad,the city,Ik ga naar de stad.,I am going to the city.
het dorp,the village,Een klein dorp.,A small village.
de straat,the street,In de straat.,In the street.
de weg,the road,De weg is lang.,The road is long.
de winkel,the shop,Ik ga naar de winkel.,I am going to the shop.
de markt,the market,Op de markt.,At the market.
de school,the school,Kinderen gaan naar school.,Children go to school.
het werk,the work,Ik ben op mijn werk.,I am at my work.
de bank,the bank,Geld op de bank.,Money in the bank.
het ziekenhuis,the hospital,Hij ligt in het ziekenhuis.,He is in the hospital.
de politie,the police,Bel de politie!,Call the police!
de natuur,the nature,Ik hou van de natuur.,I love nature.
de boom,the tree,Een hoge boom.,A tall tree.
de bloem,the flower,Een mooie bloem.,A beautiful flower.
de plant,the plant,De plant heeft water nodig.,The plant needs water.
de zon,the sun,De zon schijnt.,The sun is shining.
de maan,the moon,De maan is rond.,The moon is round.
de ster,the star,Kijk naar de sterren.,Look at the stars.
de lucht,the sky/air,Blauwe lucht.,Blue sky.
de zee,the sea,De zee is wild.,The sea is wild.
het strand,the beach,Op het strand.,On the beach.
de berg,the mountain,Een hoge berg.,A high mountain.
de rivier,the river,Een diepe rivier.,A deep river.
het weer,the weather,Hoe is het weer?,How is the weather?
de regen,the rain,Ik loop in de regen.,I am walking in the rain.
de sneeuw,the snow,Er ligt sneeuw.,There is snow.
de wind,the wind,Er is veel wind.,There is a lot of wind.
warm,warm,Het is erg warm.,It is very warm.
koud,cold,Ik heb het koud.,I am cold.
goed,good,Dat is goed.,That is good.
fout,wrong,Dat is fout.,That is wrong.
mooi,beautiful,Een mooi huis.,A beautiful house.
lelijk,ugly,Een lelijk eendje.,An ugly duckling.
groot,big,Een grote auto.,A big car.
klein,small,Een kleine hond.,A small dog.
ouders,parents,Mijn ouders wonen hier.,My parents live here.
collega,colleague,Hij is een leuke collega.,He is a nice colleague.
baas,boss,Mijn baas is aardig.,My boss is nice.
klant,customer,De klant wacht.,The customer is waiting.
dokter,doctor,Ik moet naar de dokter.,I have to go to the doctor.
leraar,teacher,De leraar spreekt.,The teacher is speaking.
student,student,Hij is een student.,He is a student.
buurman,neighbor (male),Mijn buurman is stil.,My neighbor is quiet.
buurvrouw,neighbor (female),Mijn buurvrouw bakt koekjes.,My neighbor is baking cookies.
naam,name,Wat is jouw naam?,What is your name?
leeftijd,age,Wat is je leeftijd?,What is your age?
adres,address,Wat is je adres?,What is your address?
telefoon,phone,Waar is mijn telefoon?,Where is my phone?
nummer,number,Wat is je nummer?,What is your number?
afspraak,appointment,Ik heb een afspraak.,I have an appointment.
probleem,problem,Dat is geen probleem.,That is no problem.
oplossing,solution,We zoeken een oplossing.,We are looking for a solution.
vraag,question,Ik heb een vraag.,I have a question.
antwoord,answer,Dat is het goede antwoord.,That is the right answer.
werk,work,Ik ga naar mijn werk.,I am going to my work.
baan,job,Ik zoek een nieuwe baan.,I am looking for a new job.
bedrijf,company,Hij werkt voor een groot bedrijf.,He works for a big company.
kantoor,office,Ik ben op kantoor.,I am at the office.
vakantie,holiday,Wij gaan op vakantie.,We are going on holiday.
reis,trip,Het was een goede reis.,It was a good trip.
sleutel,key,Waar is mijn sleutel?,Where is my key?
slot,lock,Het slot is oud.,The lock is old.
tas,bag,Mijn tas is zwaar.,My bag is heavy.
koffer,suitcase,Ik pak mijn koffer.,I pack my suitcase.
boek,book,Ik lees een mooi boek.,I am reading a beautiful book.
pen,pen,Mag ik je pen lenen?,May I borrow your pen?
papier,paper,Ik heb papier nodig.,I need paper.
computer,computer,De computer is traag.,The computer is slow.
laptop,laptop,Mijn laptop staat aan.,My laptop is on.
oplader,charger,Ik zoek mijn oplader.,I am looking for my charger.
televisie,TV,De televisie staat aan.,The television is on.
afstandsbediening,remote,Geef me de afstandsbediening.,Give me the remote.
koelkast,fridge,Het bier staat in de koelkast.,The beer is in the fridge.
oven,oven,De pizza zit in de oven.,The pizza is in the oven.
magnetron,microwave,Warm het op in de magnetron.,Warm it up in the microwave.
fornuis,stove,De pan staat op het fornuis.,The pan is on the stove.
bord,plate,Jouw bord is leeg.,Your plate is empty.
glas,glass,Een glas water graag.,A glass of water please.
kopje,cup,Een kopje thee graag.,A cup of tea please.
mes,knife,Ik heb een mes nodig.,I need a knife.
vork,fork,Hier is een vork.,Here is a fork.
lepel,spoon,Waar is de soeplepel?,Where is the soup spoon?
handdoek,towel,Geef me een handdoek.,Give me a towel.
zeep,soap,Was je handen met zeep.,Wash your hands with soap.
shampoo,shampoo,Mijn shampoo is op.,My shampoo is gone.
spiegel,mirror,Kijk in de spiegel.,Look in the mirror.
wasmachine,washing machine,De wasmachine is vol.,The washing machine is full.
droger,dryer,De droger is klaar.,The dryer is ready.
vuilnis,trash,Breng het vuilnis weg.,Take the trash away.
vuilnisbak,trash can,Gooi het in de vuilnisbak.,Throw it in the trash can.
schoon,clean,Alles is schoon.,Everything is clean.
vies,dirty,Mijn handen zijn vies.,My hands are dirty.
nieuw,new,Ik heb een nieuwe auto.,I have a new car.
oud,old,Die fiets is oud.,That bike is old.
duur,expensive,Dat horloge is duur.,That watch is expensive.
goedkoop,cheap,Die appels zijn goedkoop.,Those apples are cheap.
zwaar,heavy,Deze doos is zwaar.,This box is heavy.
licht (gewicht),light (weight),Het is heel licht.,It is very light.
open,open,De winkel is open.,The shop is open.
dicht,closed,De deur is dicht.,The door is closed.
vol,full,Het glas is vol.,The glass is full.
leeg,empty,Mijn kopje is leeg.,My cup is empty.
nat,wet,Mijn kleren zijn nat.,My clothes are wet.
droog,dry,De was is droog.,The laundry is dry.
snel,fast,Hij rent snel.,He runs fast.
langzaam,slow,Je praat te langzaam.,You talk too slowly.
makkelijk,easy,Die test was makkelijk.,That test was easy.
moeilijk,difficult,Nederlands is moeilijk.,Dutch is difficult.
slecht,bad,Het weer is slecht.,The weather is bad.
beter,better,Dit is veel beter.,This is much better.
best,best,Jij bent de beste.,You are the best.
hetzelfde,same,Wij dragen hetzelfde.,We are wearing the same.
anders,different,Dit is anders.,This is different.
ver,far,Is het nog ver?, Is it still far?
klaar,ready,Ik ben er klaar voor.,I am ready for it.
bier,beer,Een koud bier graag.,A cold beer please.
wijn,wine,Rode of witte wijn?,Red or white wine?
boter,butter,Met een beetje boter.,With a little butter.
kip,chicken,Wij eten kip vanavond.,We are eating chicken tonight.
pasta,pasta,Ik maak pasta.,I am making pasta.
aardappel,potato,Gekookte aardappels.,Boiled potatoes.
sinaasappel,orange,Een zoete sinaasappel.,A sweet orange.
tomaat,tomato,Tomaten in de salade.,Tomatoes in the salad.
komkommer,cucumber,Ik snijd de komkommer.,I am cutting the cucumber.
ui,onion,Met een beetje ui.,With a little onion.
sla,lettuce,De sla is groen.,The lettuce is green.
peper,pepper,Peper en zout.,Pepper and salt.
saus,sauce,Welke saus wil je?,Which sauce do you want?
soep,soup,Tomatensoep vooraf.,Tomato soup as a starter.
salade,salad,Ik bestel een salade.,I am ordering a salad.
ontbijt,breakfast,Het ontbijt is om acht uur.,Breakfast is at eight o'clock.
lunch,lunch,Wat eten we voor de lunch?,What are we eating for lunch?
diner,dinner,Het diner was heerlijk.,The dinner was delicious.
restaurant,restaurant,Een goed restaurant.,A good restaurant.
menu,menu,Mag ik het menu zien?,May I see the menu?
bestelling,order,Wat is uw bestelling?,What is your order?
rekening,bill,De rekening alstublieft.,The bill please.
reservering,reservation,Ik heb een reservering.,I have a reservation.
vies (eten),disgusting,Dat smaakt vies.,That tastes disgusting.
vers,fresh,Vers brood is het beste.,Fresh bread is the best.
oud (eten),stale,Dit brood is oud.,This bread is stale.
snijden,to cut,Kan je de ui snijden?,Can you cut the onion?
mengen,to mix,Je moet alles mengen.,You have to mix everything.
proeven,to taste,Wil je even proeven?,Do you want to taste?
serveren,to serve,We serveren het warm.,We serve it warm.
etenstijd,mealtime,Het is etenstijd.,It is mealtime.
snack,snack,Ik neem een snack.,I am taking a snack.
friet,fries,Friet met mayonaise.,Fries with mayonnaise.
pizza,pizza,Ik bestel een pizza.,I am ordering a pizza.
hamburger,burger,Een hamburger met kaas.,A burger with cheese.
ijs,ice cream,Ik wil een ijsje.,I want an ice cream.
chocolade,chocolate,Pure chocolade is lekker.,Dark chocolate is tasty.
koekje,cookie,Neem een koekje.,Take a cookie.
taart,cake,Gefeliciteerd hier is taart.,Congratulations here is cake.
fles,bottle,Een fles water.,A bottle of water.
kop,cup,Een kop koffie.,A cup of coffee.
blik,can,Een blik soep.,A can of soup.
verpakking,package,De verpakking is leeg.,The packaging is empty.
supermarkt,supermarket,Ik ga naar de supermarkt.,I am going to the supermarket.
prijs,price,Wat is de prijs?,What is the price?
korting,discount,Je krijgt korting.,You get a discount.
aanbieding,offer,Dit is een goede aanbieding.,This is a good offer.
pinnen,to pay by card,Kan ik hier pinnen?,Can I pay by card here?
contant,cash,Ik betaal contant.,I am paying cash.
wisselgeld,change,Houd het wisselgeld maar.,Keep the change.
plein,square,We ontmoeten elkaar op het plein.,We will meet at the square.
station,station,Het centraal station.,The central station.
halte,stop,De volgende halte.,The next stop.
bus,bus,De bus vertrekt zo.,The bus is leaving soon.
trein,train,De trein naar Utrecht.,The train to Utrecht.
metro,metro,Neem de metro.,Take the metro.
tram,tram,De tram stopt hier.,The tram stops here.
fiets,bicycle,Waar is mijn fiets?,Where is my bike?
auto,car,Wij gaan met de auto.,We are going by car.
taxi,taxi,Bel een taxi.,Call a taxi.
vliegtuig,airplane,Het vliegtuig landt zo.,The airplane is landing soon.
ticket,ticket,Heb je een ticket?,Do you have a ticket?
kaart,card/ticket,Een enkele kaart alstublieft.,A single ticket please.
OV-chipkaart,transport card,Vergeet je OV-chipkaart niet.,Do not forget your transport card.
fietsen,to cycle,Wij fietsen vaak.,We cycle often.
spreken,to speak,Spreek je Engels?,Do you speak English?
luisteren,to listen,Luister naar mij.,Listen to me.
leren,to learn,Ik leer Nederlands.,I am learning Dutch.
studeren,to study,Hij studeert in Amsterdam.,He studies in Amsterdam.
helpen,to help,Kan ik je helpen?,Can I help you?
vragen,to ask,Mag ik iets vragen?,May I ask something?
antwoorden,to answer,Hij geeft geen antwoord.,He gives no answer.
wachten,to wait,Ik wacht op jou.,I am waiting for you.
beginnen,to begin,Wij beginnen nu.,We are starting now.
eindigen,to end,De les eindigt zo.,The lesson ends soon.
openen,to open,Open de deur.,Open the door.
sluiten,to close,Sluit het raam.,Close the window.
proberen,to try,Ik zal het proberen.,I will try it.
gebruiken,to use,Mag ik dit gebruiken?,May I use this?
begrijpen,to understand,Ik begrijp het.,I understand it.
vergeten,to forget,Ik ben het vergeten.,I have forgotten it.
herinneren,to remember,Ik herinner het me.,I remember it.
kiezen,to choose,Je moet kiezen.,You have to choose.
reizen,to travel,Wij reizen graag.,We like to travel.
reserveren,to reserve,Ik wil een tafel reserveren.,I want to reserve a table.
ontmoeten,to meet,Leuk je te ontmoeten.,Nice to meet you.
uitnodigen,to invite,Ik wil je uitnodigen.,I want to invite you.
vieren,to celebrate,Wij vieren een feestje.,We are celebrating a party.
koken,to cook,Wie gaat er koken?,Who is going to cook?
bakken,to bake,Ik bak een brood.,I am baking a bread.
wassen,to wash,Ik moet mijn handen wassen.,I have to wash my hands.
schoonmaken,to clean,Wij gaan het huis schoonmaken.,We are going to clean the house.
oefenen,to practice,Je moet meer oefenen.,You have to practice more.
regelen,to arrange,Ik zal dat regelen.,I will arrange that.
huren,to rent,Wij huren een fiets.,We are renting a bike.
verhuizen,to move (house),Wij gaan verhuizen.,We are going to move.
bouwen,to build,Zij bouwen een huis.,They are building a house.
repareren,to repair,Kan je dit repareren?,Can you repair this?
sturen,to send,Ik stuur een e-mail.,I am sending an email.
ontvangen,to receive,Ik heb het pakket ontvangen.,I received the package.
winnen,to win,Wij gaan winnen.,We are going to win.
verliezen,to lose,Ik wil niet verliezen.,I do not want to lose.
brengen,to bring,Kan je dat brengen?,Can you bring that?
halen,to get/pick up,Ik haal je op.,I will pick you up.
dragen,to carry/wear,Hij draagt een jas.,He is wearing a coat.
trekken,to pull,Je moet trekken.,You have to pull.
duwen,to push,Niet duwen.,Do not push.
lachen,to laugh,Zij lacht altijd.,She always laughs.
huilen,to cry,Het kind huilt.,The child is crying.
voelen,to feel,Hoe voel je je?,How do you feel?
hopen,to hope,Ik hoop het.,I hope so.
plannen,to plan,Wij plannen een reis.,We are planning a trip.
veranderen,to change,Alles gaat veranderen.,Everything is going to change.
verbeteren,to improve,Je Nederlands zal verbeteren.,Your Dutch will improve.
geloven,to believe,Ik geloof je.,I believe you.
tekenen,to draw,Hij kan goed tekenen.,He can draw well.
spelen,to play,De kinderen spelen buiten.,The children are playing outside.
iemand,someone,Is er iemand?,Is there someone?
niemand,nobody,Er is niemand.,There is nobody.
alles,everything,Ik wil alles weten.,I want to know everything.
niets,nothing,Ik doe niets.,I am doing nothing.
iets,something,Wil je iets eten?,Do you want to eat something?
ergens,somewhere,Het is ergens in huis.,It is somewhere in the house.
nergens,nowhere,Ik kan het nergens vinden.,I can find it nowhere.
overal,everywhere,Ik heb overal gezocht.,I have searched everywhere.
alleen,alone / only,Ik ben alleen.,I am alone.
samen,together,Wij gaan samen.,We go together.
allemaal,all (of us/them),Wij komen allemaal.,We are all coming.
sommige,some,Sommige mensen zijn aardig.,Some people are nice.
elkaar,each other,Wij helpen elkaar.,We help each other.
beide,both,Ik wil ze beide.,I want them both.
enkele,a few,Ik heb enkele boeken.,I have a few books.
vele,many,Er zijn vele mogelijkheden.,There are many possibilities.
genoeg,enough,Dat is genoeg.,That is enough.
veel,much / many,Ik heb veel werk.,I have much work.
weinig,little / few,Er is weinig tijd.,There is little time.
meer,more,Ik wil meer weten.,I want to know more.
minder,less,Eet minder suiker.,Eat less sugar.
meest,most,De meeste mensen.,Most people.
minst,least,Het minste geld.,The least money.
heel,very / whole,Ik ben heel blij.,I am very happy.
erg,very / bad,Het is erg koud.,It is very cold.
te,too,Dat is te duur.,That is too expensive.
zo,so / like this,Doe het zo.,Do it like this.
als,as / like,Hij is als een broer.,He is like a brother.
dan,than,Ik ben groter dan jij.,I am taller than you.
even,as (equal),Ik ben even oud.,I am the same age.
net zo,just as,Net zo groot.,Just as big.
misschien,maybe,Misschien kom ik.,Maybe I will come.
natuurlijk,of course,Natuurlijk help ik je.,Of course I will help you.
zeker,sure / certain,Ik weet het zeker.,I know for sure.
waarschijnlijk,probably,Het gaat waarschijnlijk regenen.,It is probably going to rain.
eindelijk,finally,Eindelijk ben je er.,Finally you are here.
meestal,usually,Meestal ben ik op tijd.,Usually I am on time.
overmorgen,day after tomorrow,Ik zie je overmorgen.,I see you the day after tomorrow.
eergisteren,day before yesterday,Eergisteren was ik ziek.,The day before yesterday I was sick.
volgende,next,De volgende keer.,The next time.
vorige,previous,De vorige week.,The previous week.
binnen,inside,Kom binnen.,Come inside.
buiten,outside,De zon schijnt buiten.,The sun is shining outside.
beneden,downstairs / below,De keuken is beneden.,The kitchen is downstairs.
boven,upstairs / above,Ik slaap boven.,I sleep upstairs.
kleur,color,Wat is je lievelingskleur?,What is your favorite color?
rood,red,De appel is rood.,The apple is red.
blauw,blue,De lucht is blauw.,The sky is blue.
geel,yellow,De zon is geel.,The sun is yellow.
groen,green,Het gras is groen.,The grass is green.
zwart,black,Mijn schoenen zijn zwart.,My shoes are black.
